suburb,MODE,stop_count,School_Type,school_count,region,Housing_Type,timestamp,Latest_Median,Forecasted_Next_Quarter
Cheltenham,METRO BUS,88.0,Secondary,1.0,Southern Melbourne,2 bedroom house,2025-03-01,578.0,620.0
Cheltenham,METRO BUS,88.0,Secondary,1.0,Southern Melbourne,3 bedroom flat,2025-03-01,680.0,760.0
Cheltenham,METRO BUS,88.0,Secondary,1.0,Southern Melbourne,3 bedroom house,2025-03-01,700.0,790.0
Cheltenham,METRO BUS,88.0,Secondary,1.0,Southern Melbourne,4 bedroom house,2025-03-01,950.0,1075.0
Cheltenham,METRO BUS,88.0,Secondary,1.0,Southern Melbourne,All properties,2025-03-01,620.0,610.0
Cheltenham,METRO TRAIN,6.0,Primary,5.0,Southern Melbourne,1 bedroom flat,2025-03-01,450.0,433.0
Cheltenham,METRO TRAIN,6.0,Primary,5.0,Southern Melbourne,2 bedroom flat,2025-03-01,550.0,598.0
Cheltenham,METRO TRAIN,6.0,Primary,5.0,Southern Melbourne,2 bedroom house,2025-03-01,578.0,620.0
Cheltenham,METRO TRAIN,6.0,Primary,5.0,Southern Melbourne,3 bedroom flat,2025-03-01,680.0,760.0
Cheltenham,METRO TRAIN,6.0,Primary,5.0,Southern Melbourne,3 bedroom house,2025-03-01,700.0,790.0
Cheltenham,METRO TRAIN,6.0,Primary,5.0,Southern Melbourne,4 bedroom house,2025-03-01,950.0,1075.0
Cheltenham,METRO TRAIN,6.0,Primary,5.0,Southern Melbourne,All properties,2025-03-01,620.0,610.0
